,importance,gene
1556,0.24939102564102678,LOC109181523
512,0.24939102564102678,LOC109164966
2188,0.24939102564102672,LOC109151871
453,0.24932158119658226,LOC109180064
906,0.2493017399267406,LOC109186719
2550,0.24925213675213792,LOC109173621
1977,0.24925213675213792,LOC109181332
2137,0.24925213675213787,LOC109161072
1968,0.2491826923076934,LOC109167143
1122,0.2491826923076934,LOC109171596
1391,0.24911324786324907,LOC109155600
609,0.249113247863249,LOC109146814
950,0.249113247863249,LOC109149464
86,0.24911324786324895,LOC109158511
552,0.2490438034188045,LOC109153200
2592,0.24900412087912116,LOC109177405
924,0.24899420024420127,LOC109169873
2255,0.24897435897436015,LOC109150904
619,0.24897435897436004,LOC109191211
384,0.24894459706959798,LOC109192911
772,0.2489049145299157,LOC109188391
2451,0.2489049145299157,LOC109177917
1339,0.2489049145299157,LOC109159545
1973,0.2488652319902328,LOC109187755
702,0.24878586691086807,LOC109152875
2646,0.2487858669108678,LOC109149301
1077,0.24876602564102684,LOC109164431
738,0.2487660256410268,LOC109162807
1888,0.24873626373626467,LOC109155735
276,0.2487164224664235,LOC109165505
2226,0.24869658119658206,LOC109188280
176,0.24863705738705832,LOC109164123
1750,0.24862713675213793,LOC109147956
409,0.24862713675213788,LOC109167921
668,0.24855769230769348,LOC109161343
2166,0.24855769230769348,LOC109150523
1047,0.24855769230769348,LOC109185818
2317,0.24855769230769342,LOC109155125
2162,0.24855769230769342,LOC109193752
1342,0.2484684065934072,LOC109160571
935,0.24844856532356613,LOC109167617
235,0.2484287240537249,LOC109181714
2749,0.24841880341880457,LOC109159139
1771,0.24841880341880457,LOC109152242
2459,0.24836920024420117,LOC109189849
563,0.24836920024420106,LOC109163125
736,0.24835927960928056,LOC109192573
1760,0.24834935897436017,LOC109180961
1235,0.24834935897436006,LOC109188428
95,0.24834935897436006,LOC109181093
2747,0.24834935897436006,LOC109161867
2656,0.24827991452991566,LOC109180873
141,0.24827991452991566,LOC109159127
1647,0.24822039072039165,LOC109178371
2479,0.2482104700854712,LOC109158942
2233,0.24819062881562964,LOC109162174
1329,0.24816086691086792,LOC109169740
1847,0.2481410256410268,LOC109147915
1630,0.2481410256410268,LOC109149513
1857,0.2481410256410268,LOC109180816
1890,0.2481410256410267,LOC109172030
2109,0.24814102564102636,LOC109148149
995,0.2480815018315029,LOC109181766
92,0.24808150183150285,LOC109162234
1303,0.24807158119658235,LOC109192464
1023,0.24807158119658235,LOC109183301
1507,0.24802197802197906,LOC109177728
432,0.24800213675213784,LOC109173488
2651,0.24800213675213778,LOC109167375
170,0.24794261294261394,LOC109169775
1302,0.24793269230769344,LOC109172268
530,0.24793269230769344,LOC109156565
707,0.24793269230769338,LOC109155878
2438,0.24787316849816948,LOC109177786
1672,0.2478632478632491,LOC109162959
1643,0.2478632478632491,LOC109165082
1622,0.2478632478632491,LOC109157876
1673,0.2478632478632491,LOC109152986
1644,0.2478632478632491,LOC109166719
1626,0.2478632478632491,LOC109148862
1653,0.2478632478632491,LOC109175546
1674,0.2478632478632491,LOC109162084
1641,0.2478632478632491,LOC109182012
1650,0.2478632478632491,LOC109189080
1670,0.2478632478632491,LOC109172715
1633,0.2478632478632491,LOC109163550
1631,0.2478632478632491,LOC109176576
1619,0.2478632478632491,LOC109157832
1658,0.2478632478632491,LOC109175646
1659,0.2478632478632491,LOC109188408
1632,0.2478632478632491,LOC109182603
1618,0.2478632478632491,LOC109153257
1660,0.2478632478632491,LOC109176471
1661,0.2478632478632491,LOC109189240
1662,0.2478632478632491,LOC109159493
1669,0.2478632478632491,LOC109161403
1634,0.2478632478632491,LOC109153188
1628,0.2478632478632491,LOC109184398
1638,0.2478632478632491,LOC109177909
1655,0.2478632478632491,LOC109172903
1668,0.2478632478632491,LOC109171926
1651,0.2478632478632491,LOC109155961
1654,0.2478632478632491,LOC109147821
1639,0.2478632478632491,LOC109162190
1667,0.2478632478632491,LOC109156146
1376,0.2478632478632491,LOC109151350
1676,0.2478632478632491,LOC109190539
1813,0.2478632478632491,LOC109163523
1811,0.2478632478632491,LOC109154786
1809,0.2478632478632491,LOC109178508
1807,0.2478632478632491,LOC109165754
1805,0.2478632478632491,LOC109183177
1799,0.2478632478632491,LOC109148028
1798,0.2478632478632491,LOC109147604
1797,0.2478632478632491,LOC109156559
1796,0.2478632478632491,LOC109155564
1793,0.2478632478632491,LOC109192208
1792,0.2478632478632491,LOC109182913
1791,0.2478632478632491,LOC109165017
1790,0.2478632478632491,LOC109160172
1786,0.2478632478632491,LOC109159205
1785,0.2478632478632491,LOC109152720
1784,0.2478632478632491,LOC109190470
1783,0.2478632478632491,LOC109172288
1781,0.2478632478632491,LOC109179309
1780,0.2478632478632491,LOC109170216
1779,0.2478632478632491,LOC109175747
1777,0.2478632478632491,LOC109154996
1776,0.2478632478632491,LOC109173232
1773,0.2478632478632491,LOC109149463
1772,0.2478632478632491,LOC109175800
1812,0.2478632478632491,LOC109156861
1817,0.2478632478632491,LOC109193807
1678,0.2478632478632491,LOC109175998
1818,0.2478632478632491,LOC109149584
1860,0.2478632478632491,LOC109168909
1856,0.2478632478632491,LOC109189068
1854,0.2478632478632491,LOC109167162
1848,0.2478632478632491,LOC109193180
1846,0.2478632478632491,LOC109185346
1841,0.2478632478632491,LOC109175560
1840,0.2478632478632491,LOC109148524
1839,0.2478632478632491,LOC109147940
1838,0.2478632478632491,LOC109186319
1837,0.2478632478632491,LOC109172704
1836,0.2478632478632491,LOC109185523
1835,0.2478632478632491,LOC109149528
1833,0.2478632478632491,LOC109162615
1832,0.2478632478632491,LOC109172312
1831,0.2478632478632491,LOC109160466
1830,0.2478632478632491,LOC109177384
1829,0.2478632478632491,LOC109151400
1828,0.2478632478632491,LOC109171727
1826,0.2478632478632491,LOC109150251
